track,problem,implementation_template,brute_force_time,optimal_time
advanced_data_structures,design_basic_hash_map,basic_hash_map,O(n) per operation,O(1) expected
advanced_data_structures,design_circular_queue,circular_queue,O(n) dequeue,O(1) per operation
advanced_data_structures,design_resizable_hash_map,basic_hash_map,O(n) per operation,O(1) expected
advanced_data_structures,fenwick_tree,fenwick,O(n) query,O(log n) update/query
advanced_data_structures,immutable_range_sum,immutable_range_sum,O(n) per query,O(n + q)
advanced_data_structures,kruskal_minimum_spanning_tree,mst_kruskal,O(2^E * E),O(E log E)
advanced_data_structures,largest_island_after_one_flip,largest_island_flip,O((m*n)^2),O(m*n)
advanced_data_structures,mutable_range_sum,fenwick,O(n) query,O(log n) update/query
advanced_data_structures,network_signal_delay,dijkstra,O(VE),O((V+E) log V)
advanced_data_structures,range_minimum_segment_tree,segment_tree_min,O(n) query,O(log n) update/query
advanced_data_structures,shortest_weighted_path,dijkstra,O(VE),O((V+E) log V)
advanced_data_structures,snapshot_array,snapshot_array,O(n) per snapshot,"O(log updates) get, O(1) snap"
advanced_data_structures,wildcard_trie_dictionary,wildcard_dictionary,O(words * length),O(pattern branching)
arrays_and_hashing,find_duplicate_number,duplicate_number,O(n),O(n)
arrays_and_hashing,longest_consecutive_sequence,longest_consecutive,O(n log n),O(n) expected
arrays_and_hashing,maximum_contiguous_sum,max_subarray,O(n^2),O(n)
arrays_and_hashing,merge_sorted_arrays,merge_sorted_arrays,O((n+m) log(n+m)),O(n+m)
arrays_and_hashing,move_all_zeroes_right,move_zeroes,O(n),O(n)
arrays_and_hashing,pair_sum_indices,two_sum,O(n^2),O(n) expected
arrays_and_hashing,product_except_current,product_except,O(n^2),O(n)
arrays_and_hashing,rotate_array_by_k,rotate_array,O(n),O(n)
arrays_and_hashing,set_matrix_zeroes,set_matrix_zeroes,O(mn),O(mn)
arrays_and_hashing,sort_colors_in_place,sort_colors,O(n log n),O(n)
arrays_and_hashing,spiral_matrix_traversal,spiral_matrix,O(mn),O(mn)
arrays_and_hashing,subarray_sum_equals_k,subarray_sum_k,O(n^2),O(n) expected
arrays_and_hashing,three_number_zero_sum,three_sum,O(n^3),O(n^2)
arrays_and_hashing,contains_duplicate,contains_duplicate,O(n^2),O(n) expected
arrays_and_hashing,valid_sudoku,valid_sudoku,O(81 log 9),O(81)
arrays_and_hashing,majority_element,majority_element,O(n),O(n)
backtracking,all_permutations,permutations,O(n! * n log n),O(n! * n)
backtracking,all_subsets,subsets,O(n * 2^n),O(n * 2^n)
backtracking,combination_sum_target,combination_sum,Exponential with duplicate generation,O(candidates^(target/min)) worst case
backtracking,generate_parentheses,generate_parentheses,O(4^n * n),O(C_n * n)
backtracking,memoized_sentence_construction,word_break,Exponential,O(n^3) with substring construction
backtracking,n_queens,n_queens,O(n! * n),O(n!)
backtracking,palindrome_partitioning,palindrome_partition,O(n * 2^n),O(n^2 + n * 2^n)
backtracking,sudoku_solver,sudoku_solver_bt,Exponential backtracking,Exponential with MRV/bit-mask pruning
backtracking,word_search_grid,word_search,O(m*n*4^L),O(m*n*4^L) with frequency pruning
backtracking,letter_combinations_phone,phone_combinations,O(4^n * n),O(4^n * n)
binary_search,classic_binary_search,binary_search,O(n),O(log n)
binary_search,find_peak_position,find_peak,O(n),O(log n)
binary_search,first_and_last_position,first_last,O(n),O(log n)
binary_search,kth_smallest_pair_distance,pair_distance,O(n^2) memory/time,O(n log W + n log n)
binary_search,minimum_eating_speed,min_eating_speed,O(max(piles)*n),O(n log max(piles))
binary_search,rotated_array_search,rotated_search,O(n),O(log n)
binary_search,search_insert_position,search_insert,O(n),O(log n)
binary_search,ship_packages_within_days,ship_capacity,O(range*n),O(n log range)
binary_search,smallest_divisor_under_threshold,smallest_divisor,O(max(nums)*n),O(n log max(nums))
binary_search,find_minimum_rotated_array,rotated_min,O(n),O(log n)
binary_search,integer_square_root,integer_sqrt,O(sqrt x),O(log x)
binary_search,split_array_largest_sum,split_array_largest,Exponential,O(n log sum)
day1_arrays_strings,account_transaction_aggregation,aggregate_transactions,O(n*k),O(n log k)
day1_arrays_strings,agent_activity_summary,frequency_strings,O(n^2),O(n log k)
day1_arrays_strings,api_status_code_frequency,frequency_strings,O(n^2),O(n log k)
day1_arrays_strings,crm_email_matching,set_reconciliation,O(n*m),O((n+m) log(n+m))
day1_arrays_strings,crm_vs_billing_reconciliation,set_reconciliation,O(n*m),O((n+m) log(n+m))
day1_arrays_strings,customer_revenue_ranking,customer_ranking,O(n*k + k log k),O(n + k log k)
day1_arrays_strings,event_deduplication_earliest,dedupe_events,O(n*k),O(n log k)
day1_arrays_strings,first_unique_event_type,first_unique_string,O(n^2),O(n)
day1_arrays_strings,longest_consecutive_activity_streak,longest_consecutive,O(n log n),O(n) expected
day1_arrays_strings,maximum_concurrent_sessions,min_meeting_rooms,O(n^2 * range),O(n log n)
day1_arrays_strings,merge_overlapping_availability,merge_intervals,O(n^3),O(n log n)
day1_arrays_strings,missing_customer_ids,set_reconciliation,O(n*m),O((n+m) log(n+m))
day2_sliding_windows_backend,active_user_sessions,active_sessions,O(sessions*queries),O((s+q) log s)
day2_sliding_windows_backend,api_latency_aggregation,latency_aggregation,O(n*k),O(n log k)
day2_sliding_windows_backend,api_log_status_summary,frequency_strings,O(n^2),O(n log k)
day2_sliding_windows_backend,burst_detection,window_event_count,O(n^2),O(n)
day2_sliding_windows_backend,deduplicate_retried_webhooks,dedupe_events,O(n*k),O(n log k)
day2_sliding_windows_backend,distributed_api_throttling_report,rate_limiter,O(n) per request,O(1) amortized per request
day2_sliding_windows_backend,error_events_last_x_seconds,window_event_count,O(n^2),O(n)
day2_sliding_windows_backend,fixed_window_rate_limiter,fixed_rate_limiter,O(log keys) per request,O(1) expected per request
day2_sliding_windows_backend,merge_maintenance_windows,merge_intervals,O(n^3),O(n log n)
day2_sliding_windows_backend,normalize_api_routes,normalize_routes,O(n),O(n)
day2_sliding_windows_backend,requests_per_user_time_window,window_event_count,O(n^2),O(n)
day2_sliding_windows_backend,sliding_window_rate_limiter,rate_limiter,O(n) per request,O(1) amortized per request
day3_graphs_dependencies,account_merge_groups,accounts_merge,O(n^3 * emails),O(total emails alpha(n))
day3_graphs_dependencies,build_integration_graph,clone_graph,O(V+E),O(V+E)
day3_graphs_dependencies,count_disconnected_networks,connected_components,O(V+E),O((V+E) alpha(V))
day3_graphs_dependencies,customer_integration_impact_report,reachable_services,O(VE),O(V+E)
day3_graphs_dependencies,dependency_execution_engine,dependency_batches,O(V^2+E),O(V+E + ordering)
day3_graphs_dependencies,detect_circular_dependency,directed_cycle,O(V*(V+E)),O(V+E)
day3_graphs_dependencies,determine_deployment_order,string_topological_order,O(V! * E),O((V+E) log V)
day3_graphs_dependencies,find_all_impacted_services,reachable_services,O(VE),O(V+E)
day3_graphs_dependencies,find_missing_integration_deps,set_reconciliation,O(n*m),O((n+m) log(n+m))
day3_graphs_dependencies,is_customer_service_reachable,string_reachable,O(VE),O(V+E)
day3_graphs_dependencies,lexicographic_deployment_order,string_topological_order,O(V! * E),O((V+E) log V)
day3_graphs_dependencies,shortest_service_hop_count,shortest_hops,Exponential,O(V+E)
dynamic_programming,burst_balloons,burst_balloons,O(n!),O(n^3)
dynamic_programming,climbing_ways,climbing_stairs,O(2^n),O(n)
dynamic_programming,coin_change_ii,coin_change_ways,Exponential,O(amount * coins)
dynamic_programming,coin_change_minimum,coin_change_min,Exponential,O(amount * coins)
dynamic_programming,decode_ways,decode_ways,O(2^n),O(n)
dynamic_programming,distinct_subsequences,distinct_subseq,O(2^n),O(n*m)
dynamic_programming,edit_distance,edit_distance,O(3^(m+n)),O(m*n)
dynamic_programming,house_robber_linear,house_robber,O(2^n),O(n)
dynamic_programming,lis_nlogn,lis,O(n^2),O(n log n)
dynamic_programming,longest_bitonic_subsequence,bitonic,O(n^3),O(n^2)
dynamic_programming,longest_common_subsequence,lcs,O(2^(m+n)),O(m*n)
dynamic_programming,longest_decreasing_subsequence,longest_decreasing,O(n^2),O(n log n)
dynamic_programming,longest_increasing_subsequence,lis,O(n^2),O(n log n)
dynamic_programming,longest_palindromic_subsequence,longest_pal_subseq,O(2^n),O(n^2)
dynamic_programming,longest_palindromic_substring,longest_pal_substring,O(n^3),O(n^2)
dynamic_programming,maximum_product_subarray,max_product_subarray,O(n^2),O(n)
